CO,NO2,O3,PM10,PM2.5,SO2,ISPU,ISPU_Kategori
0.28,12.98,8.15,4.3,6.29,23.7,23,Baik
0.28,14.61,8.32,0.48,7.06,23.4,23,Baik
0.28,18.19,10.25,2.98,9.8,22.0,32,Baik
0.28,12.85,8.0,9.9,7.57,21.8,24,Baik
0.28,14.75,8.0,7.79,6.03,21.08,20,Baik
0.28,16.92,8.25,12.31,9.85,22.15,32,Baik
0.28,11.24,7.9,5.57,4.38,21.72,21,Baik
0.28,11.94,7.88,6.71,5.31,21.72,21,Baik
0.28,11.91,7.82,12.92,11.03,23.15,36,Baik
0.28,10.73,7.88,14.9,12.82,23.91,41,Baik
0.28,9.69,7.9,12.72,10.71,23.97,35,Baik
0.28,9.77,7.85,25.48,22.2,26.07,58,Sedang
0.3,11.38,7.69,32.22,28.08,27.78,66,Sedang
0.28,9.52,7.66,17.39,15.94,25.64,51,Sedang
0.28,9.53,7.68,23.24,22.26,25.11,58,Sedang
0.3,9.55,7.69,25.85,21.12,27.6,57,Sedang
0.28,10.35,8.83,24.04,19.78,26.97,55,Sedang
0.28,9.52,7.66,26.13,21.68,25.11,58,Sedang
0.28,9.52,7.68,29.4,26.73,24.9,64,Sedang
0.3,9.53,7.7,30.05,24.22,26.53,61,Sedang
0.28,9.55,7.7,17.98,16.23,25.55,51,Sedang
0.28,9.53,7.66,18.26,15.82,24.88,50,Baik
0.28,9.53,7.66,31.15,28.8,25.05,67,Sedang
0.28,9.52,7.65,24.54,21.17,25.94,57,Sedang
0.28,9.52,7.65,12.38,10.96,24.55,35,Baik
0.28,9.53,7.67,14.51,12.78,25.05,41,Baik
0.28,9.53,7.68,12.87,12.0,24.3,39,Baik
0.32,9.53,7.7,31.2,27.79,26.65,65,Sedang
0.28,9.53,7.65,21.52,19.29,24.98,55,Sedang
0.32,9.53,7.67,23.64,19.96,25.84,56,Sedang
0.3,9.52,7.66,36.56,30.74,25.84,69,Sedang
0.28,9.5,7.7,9.19,7.91,23.77,26,Baik
0.28,9.52,7.68,15.33,15.93,22.81,51,Sedang
0.28,9.51,7.7,16.14,16.05,24.26,51,Sedang
0.28,9.52,7.68,11.76,10.78,25.1,35,Baik
0.28,9.52,7.69,8.97,8.41,24.26,27,Baik
0.28,9.52,7.66,19.54,18.35,24.76,54,Sedang
0.28,9.51,7.68,16.5,13.86,24.61,45,Baik
0.28,9.51,7.71,16.16,13.59,23.53,44,Baik
0.28,9.53,7.66,14.84,12.95,23.46,42,Baik
0.31,9.52,7.65,26.2,21.97,26.16,58,Sedang
0.05,9.63,7.75,12.92,12.95,38.19,42,Baik
0.28,25.49,8.67,12.35,7.57,20.88,24,Baik
0.49,24.21,23.98,19.37,14.79,35.74,48,Baik
0.32,38.78,33.53,26.03,19.45,47.38,55,Sedang
0.32,35.11,20.27,27.22,19.14,47.38,55,Sedang
0.48,33.97,16.98,24.65,16.67,41.62,51,Sedang
0.48,23.76,11.63,18.04,12.55,41.64,40,Baik
0.05,21.0,11.0,24.99,17.77,38.19,53,Sedang
0.48,21.0,13.54,24.94,17.32,40.15,52,Sedang
0.48,24.0,19.0,28.74,20.47,39.72,56,Sedang
0.48,24.21,17.7,29.42,20.07,39.11,56,Sedang
0.48,28.71,5.16,24.36,15.89,39.36,50,Baik
0.05,29.0,4.0,24.71,15.75,38.19,50,Baik
0.05,29.0,4.0,23.95,13.57,38.19,44,Baik
0.05,29.0,4.0,17.51,8.89,38.19,37,Baik
0.05,29.0,4.0,19.77,9.63,38.19,37,Baik
0.48,27.75,4.61,20.62,10.74,39.95,38,Baik
0.48,8.07,13.13,23.42,13.04,39.95,42,Baik
0.48,3.0,15.0,30.02,16.27,38.19,51,Sedang
0.48,3.0,15.0,29.62,16.32,38.19,51,Sedang
0.48,3.0,15.0,28.71,15.53,38.19,50,Baik
0.05,3.0,15.0,23.54,13.2,38.19,43,Baik
0.48,4.0,14.49,27.25,15.66,42.85,50,Baik
0.48,12.88,6.8,30.61,16.64,42.36,51,Sedang
0.48,22.6,2.84,27.21,15.06,41.02,49,Baik
0.49,24.0,2.0,28.67,16.91,38.19,52,Sedang
0.08,26.12,20.42,26.57,16.34,40.4,51,Sedang
0.08,25.45,17.3,25.57,15.26,40.56,49,Baik
0.1,24.0,14.21,33.97,21.25,41.62,57,Sedang
0.09,21.22,11.12,29.39,17.91,43.11,53,Sedang
0.05,21.93,10.92,18.38,11.01,41.51,40,Baik
0.06,20.8,10.45,20.49,12.26,42.41,41,Baik
0.06,27.36,11.54,18.16,10.56,41.05,39,Baik
0.05,22.48,10.07,13.43,7.94,41.69,40,Baik
0.06,21.38,8.82,17.6,9.41,42.01,40,Baik
0.06,18.2,10.08,22.37,12.7,42.32,41,Baik
0.07,21.19,10.88,27.02,15.51,41.7,50,Baik
0.09,18.01,8.73,32.6,17.77,42.71,53,Sedang
0.07,14.23,7.89,24.98,13.1,42.8,42,Baik
0.08,15.61,7.72,21.74,11.14,44.39,43,Baik
0.08,15.72,7.77,22.86,11.73,43.67,42,Baik
0.05,16.42,7.93,16.7,8.27,42.02,40,Baik
0.06,13.91,7.86,12.17,6.27,41.91,40,Baik
0.08,15.65,7.82,27.16,15.06,42.68,49,Baik
0.05,15.63,8.43,22.34,12.56,42.08,41,Baik
0.09,16.73,8.02,28.39,15.26,42.75,49,Baik
0.06,14.13,7.88,19.95,10.86,42.11,40,Baik
0.05,14.73,7.89,19.63,10.36,41.45,40,Baik
0.07,15.86,8.19,27.33,15.47,41.8,50,Baik
0.07,15.09,8.35,22.59,12.45,41.94,40,Baik
0.06,14.83,7.92,21.63,12.02,41.42,40,Baik
0.07,15.16,7.95,22.56,12.77,41.16,41,Baik
0.11,14.05,7.82,32.31,17.39,43.5,52,Sedang
0.08,13.06,7.77,27.76,14.75,42.54,48,Baik
0.07,12.9,7.76,26.83,14.13,42.21,46,Baik
0.05,14.0,7.81,22.97,11.94,41.58,40,Baik
0.04,11.84,8.3,20.66,10.78,41.55,40,Baik
0.05,11.36,7.77,21.87,11.68,41.58,40,Baik
0.07,11.0,7.75,26.41,13.95,42.21,45,Baik
0.07,12.65,9.25,28.15,17.54,41.73,53,Sedang
0.07,10.29,7.8,29.38,21.14,40.61,57,Sedang
0.06,9.76,7.76,24.28,17.39,40.61,52,Sedang
0.07,10.46,7.76,28.32,21.07,40.44,57,Sedang
0.06,9.91,7.76,26.48,19.47,40.72,55,Sedang
0.06,10.0,7.77,26.23,19.42,40.31,55,Sedang
0.05,9.64,7.73,20.41,14.32,40.33,46,Baik
0.03,9.67,7.72,14.15,9.84,40.15,39,Baik
0.03,10.06,7.72,11.51,7.89,39.52,38,Baik
0.03,9.84,7.77,14.51,10.46,39.58,38,Baik
0.05,9.75,7.76,17.86,12.7,40.29,41,Baik
0.05,10.0,7.7,23.08,16.8,40.27,52,Sedang
0.05,10.77,7.72,16.67,12.15,40.14,39,Baik
0.06,10.86,7.76,18.27,18.05,40.09,53,Sedang
0.04,11.85,7.77,14.81,14.17,39.45,46,Baik
0.06,10.0,7.78,16.7,15.13,40.14,49,Baik
0.03,10.09,7.77,12.92,11.78,39.67,38,Baik
0.04,11.09,7.75,15.74,13.95,39.59,45,Baik
0.04,10.28,7.76,13.71,11.92,39.9,38,Baik
0.05,11.41,7.76,16.8,14.84,39.52,48,Baik
0.06,11.46,7.75,18.5,15.61,39.85,50,Baik
0.06,12.11,7.76,17.91,15.67,39.9,50,Baik
0.04,11.9,7.84,15.13,13.31,39.54,43,Baik
0.05,11.21,7.74,15.89,13.86,39.35,45,Baik
0.06,10.36,7.77,20.05,17.11,39.96,52,Sedang
0.05,11.18,7.76,15.91,13.65,39.74,44,Baik
0.05,12.07,7.97,14.73,12.98,39.36,42,Baik
0.06,11.26,7.76,16.0,13.96,39.94,45,Baik
0.06,11.28,7.76,18.78,16.35,39.99,51,Sedang
0.07,14.44,8.36,22.4,19.39,40.65,55,Sedang
0.07,14.39,8.05,19.02,16.62,40.54,51,Sedang
0.04,11.15,7.77,14.39,12.64,40.42,41,Baik
0.03,10.36,7.76,10.76,9.69,40.09,39,Baik
0.03,11.12,7.76,11.14,10.25,40.13,39,Baik
0.04,11.38,7.75,12.74,12.07,39.84,39,Baik
0.05,11.42,7.76,16.8,14.75,40.22,48,Baik
0.06,11.43,7.75,16.57,14.96,40.88,48,Baik
0.03,11.37,7.76,11.65,10.56,39.89,38,Baik
0.04,10.98,7.75,13.77,13.05,40.09,42,Baik
0.05,9.9,7.77,16.95,15.61,40.31,50,Baik
0.04,10.15,7.79,15.15,14.14,40.34,46,Baik
0.04,9.63,7.75,13.12,12.2,40.57,39,Baik
0.05,10.51,7.75,11.4,10.59,40.77,39,Baik
0.05,9.73,7.75,13.41,12.38,40.92,40,Baik
0.04,9.69,7.76,11.86,11.28,40.86,39,Baik
0.05,9.69,7.75,14.07,13.18,40.64,43,Baik
0.03,9.67,7.75,12.68,12.07,40.77,39,Baik
0.04,10.25,7.76,12.82,12.61,40.5,41,Baik
0.05,11.49,7.91,18.55,18.44,40.86,54,Sedang
0.09,10.49,7.75,22.59,21.35,41.76,57,Sedang
0.03,10.22,7.76,11.65,10.61,40.4,39,Baik
0.05,10.23,7.76,14.4,13.25,40.45,43,Baik
0.05,10.4,7.74,12.51,11.01,40.26,39,Baik
0.04,10.44,7.75,11.97,10.4,40.13,39,Baik
0.02,9.75,7.76,12.95,11.52,40.15,39,Baik
0.05,9.96,7.75,14.04,12.01,40.36,39,Baik
0.08,31.18,38.33,20.67,14.75,34.84,48,Baik
0.07,29.04,36.5,21.46,15.26,33.54,49,Baik
0.07,28.13,29.3,19.67,14.18,34.29,46,Baik
0.06,25.7,21.05,19.79,14.42,35.79,47,Baik
0.04,19.64,17.03,15.62,11.18,36.46,36,Baik
0.03,22.27,14.0,14.28,10.13,36.39,35,Baik
0.12,29.88,16.78,39.58,28.91,38.04,67,Sedang
0.08,28.42,16.22,42.81,33.67,37.31,73,Sedang
0.08,17.98,8.93,39.17,30.86,38.89,69,Sedang
0.06,13.76,7.87,26.16,20.09,39.64,56,Sedang
0.06,13.09,7.75,24.03,17.63,40.25,53,Sedang
0.04,12.36,8.76,17.27,12.86,40.19,41,Baik
0.05,10.68,7.76,17.79,12.65,39.84,41,Baik
0.05,11.11,7.77,18.45,13.36,39.68,43,Baik
0.05,12.63,7.76,16.73,11.91,39.85,38,Baik
0.06,11.21,7.76,19.63,13.64,40.4,44,Baik
0.06,10.1,7.8,20.26,14.16,40.25,46,Baik
0.06,10.73,7.96,22.7,16.48,40.46,51,Sedang
0.06,10.06,7.75,20.37,14.12,40.42,46,Baik
0.05,10.66,7.75,19.19,13.04,40.11,42,Baik
0.03,10.28,7.76,14.06,9.74,39.56,38,Baik
0.04,10.16,7.75,15.45,10.76,39.71,38,Baik
0.05,11.58,7.75,19.55,13.75,40.02,44,Baik
0.05,11.4,7.76,16.91,11.75,40.04,39,Baik
0.06,10.84,7.75,19.73,13.5,41.41,44,Baik
0.05,9.69,7.82,19.7,13.95,41.24,45,Baik
0.05,12.43,8.11,19.51,13.49,39.86,44,Baik
0.06,15.29,9.07,18.92,13.06,39.77,42,Baik
0.05,14.47,8.26,21.5,15.29,39.45,49,Baik
0.06,12.71,7.75,23.65,16.69,39.82,51,Sedang
0.04,10.65,10.79,18.2,13.17,39.22,42,Baik
0.04,20.48,19.07,15.62,11.71,34.9,38,Baik
0.07,25.12,25.95,26.42,19.12,34.72,55,Sedang
0.08,28.5,19.67,23.21,16.61,35.34,51,Sedang
0.04,21.52,18.1,16.69,12.05,35.47,39,Baik
0.06,21.42,15.7,23.17,17.5,35.97,53,Sedang
0.06,21.91,17.76,19.98,14.77,36.14,48,Baik
0.04,20.9,15.71,20.25,15.02,36.43,48,Baik
0.04,19.45,15.46,17.35,12.05,36.35,39,Baik
0.05,20.18,26.33,17.86,12.59,33.97,41,Baik
0.05,24.15,23.11,18.94,13.33,34.58,43,Baik
0.07,28.05,22.3,19.68,13.94,35.39,45,Baik
0.12,30.12,13.94,29.15,20.16,37.25,56,Sedang
0.1,28.44,12.17,27.02,18.48,37.15,54,Sedang
0.1,25.51,10.34,23.11,15.65,37.65,50,Baik
0.06,19.23,12.19,14.58,10.61,36.67,35,Baik
0.1,22.38,15.51,33.01,23.32,37.53,60,Sedang
0.06,27.71,22.99,20.91,15.57,35.52,50,Baik
0.07,24.31,21.3,22.49,16.07,36.03,51,Sedang
0.08,27.9,19.76,27.72,20.73,36.18,57,Sedang
0.1,23.03,12.18,30.79,21.51,37.36,58,Sedang
0.05,17.64,9.83,17.64,12.73,36.95,41,Baik
0.09,18.62,9.59,31.63,23.65,38.28,60,Sedang
0.06,16.86,8.68,31.27,23.62,38.22,60,Sedang
0.1,20.29,8.36,36.57,24.26,40.11,61,Sedang
0.08,16.98,11.58,51.23,34.92,39.42,74,Sedang
0.05,20.38,9.8,32.61,21.97,38.19,58,Sedang
0.05,14.64,7.92,20.57,14.02,38.82,45,Baik
0.04,13.33,7.86,17.0,11.66,38.82,38,Baik
0.05,15.83,8.91,15.11,10.39,39.39,38,Baik
0.05,14.5,8.63,16.63,11.8,38.61,38,Baik
0.05,10.15,7.85,18.45,13.34,39.7,43,Baik
0.04,9.69,7.75,18.63,13.22,39.39,43,Baik
0.03,9.64,7.75,17.41,13.58,38.92,44,Baik
0.05,9.68,7.76,28.3,21.73,39.08,58,Sedang
0.08,9.74,7.75,49.63,36.54,39.94,76,Sedang
0.03,9.68,7.75,31.48,24.94,38.89,62,Sedang
0.05,11.29,7.74,50.23,37.36,38.52,77,Sedang
0.05,10.71,7.74,41.88,33.15,38.11,72,Sedang
0.02,9.8,7.76,12.31,8.44,38.13,37,Baik
0.03,9.63,7.74,8.5,5.95,38.19,37,Baik
0.04,9.65,7.74,9.85,6.63,38.81,37,Baik
0.04,9.93,7.75,9.17,6.54,38.39,37,Baik
0.05,9.88,7.75,13.52,9.02,38.47,37,Baik
0.04,10.68,7.85,14.7,9.33,38.0,37,Baik
0.04,10.99,7.79,15.3,10.11,37.88,36,Baik
0.03,10.54,7.76,13.48,8.86,37.72,36,Baik
0.03,10.89,7.77,7.44,4.41,37.24,36,Baik
0.03,10.37,7.75,7.48,4.8,37.47,36,Baik
0.04,10.02,7.75,13.93,8.97,38.11,37,Baik
0.03,12.11,7.98,8.66,5.6,37.21,36,Baik
0.05,12.63,8.23,10.26,6.65,37.19,36,Baik
0.04,11.98,7.77,7.5,4.72,37.86,36,Baik
0.05,10.85,7.96,12.44,8.32,38.2,37,Baik
0.13,10.48,7.75,15.59,9.89,40.76,39,Baik
