CO,NO2,O3,PM10,PM2.5,SO2,ISPU,ISPU_Kategori
0.06,13.64,7.76,10.27,6.24,38.02,37,Baik
0.05,10.26,7.75,9.52,6.4,38.33,37,Baik
0.04,11.87,7.77,8.56,5.67,37.43,36,Baik
0.08,13.74,7.75,14.51,9.09,38.38,37,Baik
0.05,10.95,7.76,11.58,7.33,38.25,37,Baik
0.06,13.47,7.76,14.41,9.02,38.52,37,Baik
0.02,12.2,7.75,10.32,6.61,37.67,36,Baik
0.03,11.68,7.75,12.95,8.6,38.03,37,Baik
0.03,10.46,7.75,13.82,8.98,38.56,37,Baik
0.06,10.82,7.77,13.82,8.85,38.71,37,Baik
0.03,10.18,7.76,8.88,5.68,38.42,37,Baik
0.03,10.02,7.76,12.08,8.69,38.19,37,Baik
0.03,10.5,7.85,9.0,6.14,38.17,37,Baik
0.05,13.81,7.83,8.16,5.7,38.07,37,Baik
0.05,13.57,7.9,10.47,7.22,38.22,37,Baik
0.03,10.37,7.75,8.94,5.9,38.28,37,Baik
0.04,11.09,7.91,10.55,7.14,38.4,37,Baik
0.02,10.66,7.77,8.33,5.78,37.75,36,Baik
0.04,10.39,7.75,12.13,8.05,38.19,37,Baik
0.07,10.18,7.93,20.38,13.02,38.85,42,Baik
0.03,10.39,7.94,12.97,8.43,38.46,37,Baik
0.03,12.6,8.9,9.85,6.19,38.49,37,Baik
0.03,15.2,22.76,8.49,9.11,33.9,33,Baik
0.03,15.02,22.52,7.18,7.9,33.61,32,Baik
0.05,20.72,22.79,10.88,9.97,32.86,32,Baik
0.05,22.49,14.83,6.93,6.72,34.35,33,Baik
0.04,20.84,12.48,7.32,6.95,35.02,34,Baik
0.05,18.12,14.56,6.33,7.1,35.99,35,Baik
0.08,18.3,13.45,19.52,16.29,37.0,51,Sedang
0.04,14.63,12.9,8.98,8.19,36.36,35,Baik
0.04,18.7,14.9,7.91,7.85,35.02,34,Baik
0.04,19.6,11.24,8.05,7.9,35.14,34,Baik
0.06,18.82,9.41,7.47,7.5,36.44,35,Baik
0.07,14.39,10.71,10.93,9.44,37.61,36,Baik
0.04,14.79,9.51,4.51,5.23,36.44,35,Baik
0.03,14.45,9.57,3.3,4.05,36.25,35,Baik
0.06,18.42,12.31,6.44,6.52,36.13,35,Baik
0.07,16.73,9.74,14.98,12.55,36.86,40,Baik
0.1,18.3,14.45,24.74,20.72,37.84,57,Sedang
0.05,14.48,10.3,14.67,11.6,37.64,37,Baik
0.02,12.8,9.32,8.51,7.45,37.72,36,Baik
0.03,11.13,7.81,5.95,5.26,37.82,36,Baik
0.03,11.68,8.66,5.46,4.88,37.47,36,Baik
0.03,11.46,7.86,9.61,6.92,37.65,36,Baik
0.03,12.84,7.91,4.22,3.51,37.11,36,Baik
0.04,13.04,9.38,10.88,7.48,37.32,36,Baik
0.04,15.6,9.25,12.56,8.27,36.9,35,Baik
0.04,12.97,7.76,13.58,9.27,37.45,36,Baik
0.04,11.22,9.01,12.78,9.27,37.52,36,Baik
0.03,11.5,7.81,12.18,9.13,36.9,35,Baik
0.02,11.99,7.78,8.36,6.49,36.72,35,Baik
0.02,12.26,7.96,8.05,6.29,36.92,36,Baik
0.02,11.96,9.46,7.89,6.81,37.31,36,Baik
0.05,13.36,9.71,12.34,9.49,37.21,36,Baik
0.04,11.64,8.01,11.68,9.32,37.1,36,Baik
0.04,12.77,7.76,11.72,9.22,37.15,36,Baik
0.05,14.1,8.49,14.45,11.0,37.26,36,Baik
0.06,14.41,8.1,19.45,14.37,37.78,46,Baik
0.06,12.54,7.74,16.02,12.95,38.47,42,Baik
0.04,10.85,7.75,9.83,8.32,38.15,37,Baik
0.03,11.03,7.75,9.94,8.89,37.59,36,Baik
0.03,9.94,7.75,7.92,7.35,37.86,36,Baik
0.04,10.54,7.75,12.05,10.36,38.11,37,Baik
0.05,10.97,7.75,14.68,12.62,38.14,41,Baik
0.05,11.75,7.76,13.49,12.15,38.04,39,Baik
0.05,10.88,7.75,16.01,14.21,38.53,46,Baik
0.06,10.81,7.76,14.41,12.37,38.7,40,Baik
0.05,9.99,7.76,17.75,15.07,38.72,49,Baik
0.14,9.99,7.74,20.97,16.44,41.27,51,Sedang
0.02,9.94,7.75,6.42,6.21,39.43,38,Baik
0.03,11.09,8.53,6.44,6.32,39.52,38,Baik
0.04,13.94,9.99,15.72,14.1,38.18,45,Baik
0.07,14.82,22.86,18.77,17.6,35.21,53,Sedang
0.07,22.0,22.02,21.33,18.3,35.06,54,Sedang
0.09,25.85,24.24,35.9,31.66,35.03,70,Sedang
0.11,19.28,16.95,34.99,30.07,37.72,68,Sedang
0.05,19.89,9.25,8.94,8.86,37.84,36,Baik
0.05,16.02,9.19,18.66,16.95,38.65,52,Sedang
0.08,15.4,7.98,19.89,13.91,40.53,45,Baik
0.03,13.5,7.97,12.96,9.73,39.77,38,Baik
0.03,9.77,7.75,14.05,10.91,38.42,37,Baik
0.05,10.81,7.74,18.05,12.48,38.54,40,Baik
0.03,14.96,8.07,8.36,7.12,37.07,36,Baik
0.08,16.61,7.77,9.02,6.71,37.74,36,Baik
0.11,13.6,7.75,20.7,14.05,39.56,45,Baik
0.13,15.06,7.75,28.37,18.68,41.52,54,Sedang
0.11,14.91,7.74,23.0,16.88,40.51,52,Sedang
0.09,15.8,7.84,24.96,18.34,39.15,54,Sedang
0.09,14.2,7.76,34.65,25.13,39.59,62,Sedang
0.01,10.57,7.75,3.91,4.28,38.04,37,Baik
0.03,12.16,7.77,5.22,5.28,37.97,37,Baik
0.02,11.66,7.75,7.04,6.24,38.18,37,Baik
0.05,11.54,7.75,12.92,10.59,39.17,38,Baik
0.05,12.14,7.75,10.53,8.82,38.86,37,Baik
0.04,12.35,7.75,12.7,11.67,38.52,38,Baik
0.06,13.32,7.77,9.51,9.78,38.08,37,Baik
0.05,11.27,7.76,10.7,10.91,37.97,37,Baik
0.03,11.57,7.75,5.44,7.42,37.54,36,Baik
0.05,9.91,7.76,9.26,11.68,38.97,38,Baik
0.05,9.63,7.74,14.65,16.01,39.5,51,Sedang
0.02,9.61,7.74,4.47,6.01,39.02,38,Baik
0.06,10.55,7.75,8.36,10.09,39.79,38,Baik
0.06,9.61,7.75,12.38,14.61,40.09,47,Baik
0.03,9.64,7.75,6.54,8.69,39.21,38,Baik
0.03,10.32,7.76,10.61,14.02,39.18,45,Baik
0.02,9.63,7.77,7.46,9.49,38.95,37,Baik
0.04,9.81,7.76,12.09,15.73,39.18,50,Baik
0.04,10.76,7.75,11.36,12.48,39.15,40,Baik
0.12,10.14,7.76,14.11,14.61,40.75,47,Baik
0.08,11.74,8.21,18.85,20.13,40.54,56,Sedang
0.06,12.15,7.74,13.81,16.17,39.83,51,Sedang
0.07,12.04,7.73,19.08,20.51,39.93,56,Sedang
0.07,9.81,7.75,23.81,24.15,40.4,61,Sedang
0.07,10.49,7.75,27.38,27.08,40.25,65,Sedang
0.16,12.93,7.74,22.37,22.34,42.38,59,Sedang
0.14,9.73,7.75,18.27,18.3,42.71,54,Sedang
0.08,9.66,7.73,19.71,19.64,40.77,55,Sedang
0.11,12.72,7.8,24.33,21.56,39.79,58,Sedang
0.14,14.61,7.76,36.09,32.32,39.74,71,Sedang
0.07,13.68,7.74,19.22,19.5,39.59,55,Sedang
0.04,11.62,7.77,10.03,10.85,38.86,37,Baik
0.04,11.19,7.74,13.62,15.29,38.04,49,Baik
0.09,12.12,7.76,19.84,20.74,38.57,57,Sedang
0.08,10.74,7.76,10.83,11.75,40.02,38,Baik
0.04,11.26,7.76,13.23,15.42,39.86,50,Baik
0.08,11.0,7.75,13.46,15.01,41.12,48,Baik
0.05,11.29,7.83,16.91,18.73,40.25,54,Sedang
0.07,19.55,23.75,20.39,21.19,36.61,57,Sedang
0.05,29.56,35.03,19.91,19.22,30.42,55,Sedang
0.05,22.71,26.04,19.38,16.89,33.15,52,Sedang
0.03,23.75,26.72,13.24,12.5,33.09,40,Baik
0.04,24.11,25.76,16.91,15.15,33.85,49,Baik
0.05,23.37,22.91,17.85,15.62,33.52,50,Baik
0.1,23.79,21.03,29.15,24.21,33.84,61,Sedang
0.05,20.97,8.65,12.33,10.64,34.78,34,Baik
0.07,21.55,8.26,12.44,11.31,36.47,36,Baik
0.05,16.93,7.75,14.53,12.91,36.51,42,Baik
0.11,16.92,7.81,21.49,18.02,37.99,53,Sedang
0.18,17.63,7.8,43.6,34.04,40.11,73,Sedang
0.07,11.9,7.76,30.89,25.28,38.34,62,Sedang
0.08,11.57,7.75,27.98,23.91,38.54,61,Sedang
0.11,9.63,7.74,23.1,18.37,39.88,54,Sedang
0.08,10.89,7.79,20.49,16.43,39.47,51,Sedang
0.07,9.64,7.73,23.35,19.42,38.72,55,Sedang
0.03,9.61,7.75,10.89,10.03,37.96,37,Baik
0.1,9.78,7.73,18.48,14.45,39.47,47,Baik
0.12,9.61,7.73,24.07,18.94,40.28,54,Sedang
0.04,9.61,7.75,11.13,9.88,38.42,37,Baik
0.08,9.6,7.75,12.69,11.7,39.17,38,Baik
0.04,9.64,7.74,15.22,13.05,38.34,42,Baik
0.04,9.64,7.74,10.46,9.64,38.19,37,Baik
0.08,9.61,7.76,19.42,16.62,38.74,51,Sedang
0.05,9.66,7.76,19.44,17.2,38.29,52,Sedang
0.05,9.67,7.75,19.48,16.79,38.19,52,Sedang
0.08,9.75,7.76,28.15,23.85,38.54,60,Sedang
0.08,9.8,7.74,25.24,19.38,38.71,55,Sedang
0.13,9.63,7.76,10.42,8.99,40.65,39,Baik
0.06,9.61,7.77,10.59,9.53,38.65,37,Baik
0.12,9.68,7.78,14.17,12.1,40.5,39,Baik
0.14,9.64,7.76,19.3,16.02,40.72,51,Sedang
0.13,9.63,7.75,34.64,27.55,40.0,65,Sedang
0.08,9.61,7.75,29.82,24.82,39.28,62,Sedang
0.05,9.64,7.76,26.15,22.89,38.7,59,Sedang
0.08,9.61,7.75,31.77,27.45,38.72,65,Sedang
0.04,9.61,7.75,17.43,14.6,38.1,47,Baik
0.05,9.63,7.75,17.35,15.14,38.08,49,Baik
0.11,9.64,7.73,35.21,29.79,38.9,68,Sedang
0.09,9.63,7.73,24.63,20.2,38.75,56,Sedang
0.09,9.61,7.74,28.44,23.47,39.01,60,Sedang
0.03,9.61,7.76,14.41,12.31,38.25,40,Baik
0.04,9.63,7.75,18.25,16.39,37.92,51,Sedang
0.04,9.64,7.74,19.18,16.52,37.88,51,Sedang
0.03,9.63,7.76,13.93,12.46,37.56,40,Baik
0.18,9.63,7.76,38.4,30.17,40.11,68,Sedang
0.04,9.63,7.76,11.37,10.7,38.14,37,Baik
0.05,9.63,7.74,17.73,16.39,38.19,51,Sedang
0.08,9.61,7.74,25.47,21.34,38.33,57,Sedang
0.12,9.69,7.76,27.49,22.76,39.33,59,Sedang
0.03,14.82,10.02,6.76,7.07,36.67,35,Baik
0.07,29.15,20.18,13.64,11.89,32.36,38,Baik
0.05,30.11,30.96,15.55,11.3,30.29,36,Baik
0.05,26.53,34.42,16.77,13.19,30.41,43,Baik
0.09,26.58,31.86,22.27,16.93,32.21,52,Sedang
0.15,49.43,39.89,42.27,31.82,28.27,70,Sedang
0.22,47.74,13.5,70.63,52.17,30.3,96,Sedang
0.14,40.26,7.93,49.01,36.64,32.46,76,Sedang
0.08,33.96,9.22,27.61,21.16,32.03,57,Sedang
0.07,44.38,17.16,23.56,18.47,28.67,54,Sedang
0.08,44.48,16.21,28.72,21.49,29.52,58,Sedang
0.1,41.61,17.92,22.05,15.83,28.79,50,Baik
0.1,33.25,9.83,27.17,20.16,30.46,56,Sedang
0.09,31.11,7.76,25.86,19.16,30.86,55,Sedang
0.08,32.45,7.75,18.89,13.41,30.42,43,Baik
0.04,29.91,7.74,17.13,12.69,29.47,41,Baik
0.08,36.61,7.76,26.08,19.28,29.42,55,Sedang
0.09,37.26,7.72,28.26,20.61,29.59,56,Sedang
0.04,30.65,7.74,17.39,13.26,28.84,43,Baik
0.08,29.86,71.61,24.82,19.25,29.28,55,Sedang
0.07,31.95,102.2,17.7,12.95,30.5,43,Baik
0.09,30.71,37.21,22.39,15.41,32.72,50,Baik
0.09,37.36,45.12,17.46,12.43,31.1,40,Baik
0.08,39.04,50.78,16.95,12.64,29.97,41,Baik
0.07,41.14,63.06,20.61,15.17,27.84,49,Baik
0.07,33.61,59.19,21.64,15.73,28.61,50,Baik
0.14,46.6,59.3,37.2,27.42,28.17,65,Sedang
0.15,45.33,48.68,38.79,27.99,30.4,66,Sedang
0.04,31.31,51.02,15.42,10.81,29.01,35,Baik
0.06,28.43,44.49,21.06,15.44,30.52,50,Baik
0.07,29.91,44.96,22.74,16.59,30.2,51,Sedang
0.08,41.7,50.58,25.88,18.46,28.85,54,Sedang
0.07,38.61,49.78,20.05,14.86,29.08,48,Baik
0.09,37.31,52.6,27.01,20.25,29.03,56,Sedang
0.08,42.71,60.42,29.01,21.99,26.95,58,Sedang
0.08,41.42,53.13,25.23,18.37,28.02,54,Sedang
0.07,37.02,52.61,20.63,15.16,28.19,49,Baik
0.09,41.77,45.48,24.52,17.66,29.15,53,Sedang
0.15,42.67,44.9,39.03,27.84,30.77,65,Sedang
0.11,41.76,44.11,29.92,21.37,29.84,57,Sedang
0.08,37.56,41.94,20.8,15.1,30.17,49,Baik
0.11,39.85,47.76,31.3,23.3,31.99,60,Sedang
0.11,36.64,49.37,35.6,26.2,32.19,63,Sedang
0.07,33.89,39.64,23.14,16.52,32.29,51,Sedang
0.05,31.03,37.44,16.44,11.43,32.47,37,Baik
0.05,29.95,38.69,16.85,11.94,31.91,39,Baik
0.05,29.44,40.06,15.02,10.92,31.3,35,Baik
0.07,33.86,37.64,21.42,16.13,31.73,51,Sedang
0.07,35.46,37.78,20.07,15.29,30.17,49,Baik
0.07,32.58,30.82,20.64,15.37,31.28,50,Baik
0.04,29.8,40.99,14.5,10.76,29.77,35,Baik
0.06,31.5,43.05,33.08,26.68,29.4,64,Sedang
0.06,31.77,51.6,24.0,18.04,27.8,53,Sedang
0.07,45.59,64.31,25.24,19.51,25.7,55,Sedang
0.07,45.59,60.62,21.63,16.29,25.73,51,Sedang
0.12,44.47,55.55,34.86,25.91,28.2,63,Sedang
0.11,36.29,36.63,31.7,23.53,31.82,60,Sedang
0.07,37.52,47.07,23.74,17.95,29.04,53,Sedang
0.06,40.07,48.56,21.03,15.42,28.4,50,Baik
0.06,40.83,57.21,19.27,13.68,26.74,44,Baik
0.07,45.5,65.26,19.68,14.07,25.14,45,Baik
0.06,38.45,62.51,19.05,14.67,25.35,47,Baik
0.09,39.83,55.9,23.78,16.98,27.24,55,Sedang
0.07,34.35,53.5,20.05,14.6,27.29,47,Baik
0.06,36.47,49.79,18.28,13.0,28.19,42,Baik
